,,,,,,,,,Tackles,,,,,Vs Dribbles,,,,Pressures,,,,,,Blocks,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1194,John Joe\John-Joe,ie IRL,MFDF,Getafe,es La Liga,17-222,2003,0.7,1.43,1.43,0.00,1.43,0.00,0.00,0.00,,0.00,34.3,5.71,16.7,5.71,24.3,4.29,1.43,0.00,0.00,1.43,1.43,2.86,0.00,0.00,Matches
1195,Joelinton\Joelinton,br BRA,FWMF,Newcastle Utd,eng Premier League,24-263,1996,20.5,2.05,1.22,0.49,1.22,0.34,0.63,1.80,35.1,1.17,18.4,4.68,25.5,4.00,9.27,5.12,1.71,0.20,0.00,1.51,0.98,3.02,1.02,0.00,Matches
1196,Marco John\Marco-John,de GER,DF,Hoffenheim,de Bundesliga,19-032,2002,10.5,1.52,0.95,0.57,0.67,0.29,0.48,1.52,31.3,1.05,12.9,4.76,37.0,4.57,5.52,2.76,2.86,0.10,0.00,2.76,1.24,2.76,1.62,0.00,Matches
1197,Ben Johnson\Ben-Johnson,eng ENG,DF,West Ham,eng Premier League,21-100,2000,5.8,1.55,0.52,1.03,0.17,0.34,0.69,1.38,50.0,0.69,14.0,2.24,16.0,7.76,3.79,2.41,1.72,0.34,0.17,1.38,1.90,3.45,2.41,0.00,Matches
1198,Sam Johnstone\Sam-Johnstone,eng ENG,GK,West Brom,eng Premier League,28-040,1993,33.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.09,0.06,66.7,0.09,0.00,0.00,0.03,0.00,0.00,0.03,0.00,0.00,0.00,0.03,Matches
1199,Curtis Jones\Curtis-Jones,eng ENG,MF,Liverpool,eng Premier League,20-094,2001,12.3,1.63,1.22,0.65,0.57,0.41,0.81,1.87,43.5,1.06,17.2,5.20,30.2,3.66,8.21,5.37,1.38,0.00,0.00,1.38,1.30,2.93,0.81,0.08,Matches
1200,Frenkie de Jong\Frenkie-de-Jong,nl NED,MFDF,Barcelona,es La Liga,23-357,1997,32.2,1.12,0.75,0.50,0.50,0.12,0.31,0.96,32.3,0.65,9.63,3.11,32.3,2.70,4.91,2.02,0.93,0.09,0.00,0.84,0.99,2.11,0.96,0.03,Matches
1201,Luuk de Jong\Luuk-de-Jong,nl NED,FW,Sevilla,es La Liga,30-250,1990,13.2,0.76,0.38,0.30,0.23,0.23,0.08,0.38,20.0,0.30,13.7,4.47,32.6,0.98,6.14,6.59,0.76,0.08,0.00,0.68,0.08,0.83,1.06,0.00,Matches
1202,Jony\Jony,es ESP,MFFW,Osasuna,es La Liga,29-299,1991,8.5,0.71,0.71,0.12,0.35,0.24,0.35,1.53,23.1,1.18,11.9,3.06,25.7,1.88,5.29,4.71,0.82,0.00,0.00,0.82,1.06,1.76,0.12,0.00,Matches
1203,Joan Jordán\Joan-Jordan,es ESP,MF,Sevilla,es La Liga,26-302,1994,24.2,1.90,1.03,0.50,1.12,0.29,0.74,2.98,25.0,2.23,18.0,4.96,27.6,4.09,11.0,2.89,1.03,0.04,0.00,0.99,0.70,2.60,1.32,0.04,Matches
1204,Jorginho\Jorginho,it ITA,MF,Chelsea,eng Premier League,29-135,1991,19.4,2.68,1.70,1.19,1.19,0.31,0.98,3.30,29.7,2.32,21.0,7.58,36.0,7.99,10.8,2.22,1.70,0.21,0.00,1.49,2.42,5.10,0.93,0.05,Matches
1205,Josan\Josan,es ESP,MFDF,Elche,es La Liga,31-152,1989,18.4,2.07,1.36,1.30,0.76,0.00,0.54,1.68,32.3,1.14,13.3,3.32,24.9,5.60,5.33,2.39,1.85,0.11,0.00,1.74,0.92,2.99,1.25,0.05,Matches
1206,Willian José\Willian-Jose,br BRA,FW,Wolves,eng Premier League,29-162,1991,10.8,0.09,0.09,0.00,0.00,0.09,0.00,0.28,0.0,0.28,9.54,2.78,29.1,0.37,5.46,3.70,0.65,0.09,0.00,0.56,0.28,0.37,0.93,0.00,Matches
1207,Willian José\Willian-Jose,br BRA,FW,Real Sociedad,es La Liga,29-162,1991,7.7,0.52,0.52,0.00,0.52,0.00,0.26,0.52,50.0,0.26,13.0,4.55,35.0,0.39,4.81,7.79,0.65,0.13,0.00,0.52,0.13,0.65,0.65,0.00,Matches
1208,Joselu\Joselu,es ESP,FW,Alavés,es La Liga,31-038,1990,30.4,0.89,0.69,0.30,0.49,0.10,0.23,0.79,29.2,0.56,16.9,4.11,24.4,1.64,8.16,7.07,1.12,0.20,0.00,0.92,0.49,1.38,1.78,0.00,Matches
1209,Josema\Josema,es ESP,DF,Elche,es La Liga,24-332,1996,20.9,2.15,1.24,1.72,0.43,0.00,0.33,0.86,38.9,0.53,11.0,3.68,33.5,7.37,3.06,0.57,1.91,0.43,0.00,1.48,1.58,3.73,4.35,0.00,Matches
1210,Jota\Jota,pt POR,FW,Valladolid,es La Liga,22-035,1999,5.9,,0.51,,,,,,,,,,,,,,,,,,0.85,,,,Matches
1211,Jota\Jota,es ESP,MF,Alavés,es La Liga,29-322,1991,14.7,1.56,0.95,0.54,0.68,0.34,0.27,1.56,17.4,1.29,18.9,4.49,23.7,5.17,9.66,4.08,1.02,0.00,0.00,1.02,1.09,2.65,0.75,0.00,Matches
1212,Diogo Jota\Diogo-Jota,pt POR,FW,Liverpool,eng Premier League,24-151,1996,10.7,0.93,0.65,0.28,0.47,0.19,0.28,2.62,10.7,2.34,22.4,5.70,25.4,4.49,8.13,9.81,0.75,0.00,0.00,0.75,0.65,1.59,0.37,0.00,Matches
1213,Stevan Jovetić\Stevan-Jovetic,me MNE,FWMF,Monaco,fr Ligue 1,31-183,1989,8.9,1.46,1.01,0.34,0.79,0.34,0.45,1.57,28.6,1.12,14.9,5.06,33.8,2.02,6.07,6.85,0.45,0.00,0.00,0.45,0.79,2.25,0.90,0.00,Matches
1214,Luka Jović\Luka-Jovic,rs SRB,FWMF,Real Madrid,es La Liga,23-132,1997,1.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,8.82,1.18,13.3,1.18,1.18,6.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1215,Luka Jović\Luka-Jovic,rs SRB,FWMF,Eint Frankfurt,de Bundesliga,23-132,1997,8.7,0.46,0.46,0.00,0.23,0.23,0.11,0.57,20.0,0.46,10.2,2.64,25.8,0.46,4.14,5.63,0.57,0.00,0.00,0.57,0.11,0.57,0.46,0.00,Matches
1216,Juanmi\Juanmi,es ESP,FWMF,Betis,es La Liga,27-349,1993,6.7,1.64,1.19,0.30,0.60,0.75,0.75,2.39,31.3,1.64,20.0,5.82,29.1,3.13,9.40,7.46,0.45,0.00,0.00,0.45,0.45,2.09,0.30,0.15,Matches
1217,Hamed Junior Traorè\Hamed-Junior-Traore,ci CIV,FWMF,Sassuolo,it Serie A,21-077,2000,17.8,1.80,1.18,0.73,0.56,0.51,0.67,1.69,40.0,1.01,17.0,5.11,30.1,3.82,7.64,5.51,1.01,0.17,0.06,0.84,0.84,2.64,0.62,0.06,Matches
1218,Vinicius Júnior\Vinicius-Junior,br BRA,FW,Real Madrid,es La Liga,20-296,2000,19.1,1.62,1.20,0.73,0.47,0.42,0.37,1.99,18.4,1.62,19.8,5.34,27.0,4.97,7.91,6.91,1.52,0.10,0.00,1.41,0.31,1.94,0.37,0.00,Matches
1219,James Justin\James-Justin,eng ENG,DF,Leicester City,eng Premier League,23-070,1998,23.0,2.74,1.22,1.78,0.78,0.17,0.74,1.87,39.5,1.13,15.1,4.78,31.7,7.96,4.65,2.48,2.35,0.48,0.00,1.87,1.09,3.83,2.78,0.00,Matches
1220,Musa Juwara\Musa-Juwara,gm GAM,DF,Bologna,it Serie A,19-129,2001,0.4,2.50,0.00,0.00,2.50,0.00,2.50,2.50,100.0,0.00,7.50,0.00,0.0,0.00,5.00,2.50,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,Matches
1221,Jens Jønsson\Jens-Jonsson,dk DEN,MF,Cádiz,es La Liga,28-114,1993,25.8,2.05,1.51,1.09,0.85,0.12,0.66,1.47,44.7,0.81,16.3,4.84,29.7,6.12,8.45,1.74,1.86,0.31,0.00,1.55,1.55,3.60,1.78,0.00,Matches
1222,Ozan Kabak\Ozan-Kabak,tr TUR,DF,Liverpool,eng Premier League,21-040,2000,8.9,2.13,1.12,1.35,0.45,0.34,0.22,0.79,28.6,0.56,11.6,4.61,39.8,6.52,4.49,0.56,0.56,0.34,0.00,0.22,1.24,3.37,5.51,0.11,Matches
1223,Ozan Kabak\Ozan-Kabak,tr TUR,DF,Schalke 04,de Bundesliga,21-040,2000,13.8,1.45,0.80,1.09,0.29,0.07,0.43,1.16,37.5,0.72,10.9,3.41,31.1,7.54,3.04,0.36,2.17,1.01,0.00,1.16,1.16,2.61,5.51,0.14,Matches
1224,Abdoul Kader Bamba\Abdoul-Kader-Bamba,fr FRA,FWMF,Nantes,fr Ligue 1,27-009,1994,10.2,1.86,1.27,0.69,0.78,0.39,0.59,1.47,40.0,0.88,15.1,4.90,32.5,4.02,7.75,3.33,1.27,0.00,0.00,1.27,0.69,2.55,0.29,0.00,Matches
1225,Pavel Kadeřábek\Pavel-Kaderabek,cz CZE,DF,Hoffenheim,de Bundesliga,29-009,1992,14.6,1.16,0.82,0.55,0.41,0.21,0.48,1.37,35.0,0.89,7.88,1.99,25.2,2.47,3.15,2.26,0.89,0.14,0.00,0.75,1.16,2.33,1.99,0.00,Matches
1226,Tino Kadewere\Tino-Kadewere,zw ZIM,FW,Lyon,fr Ligue 1,25-119,1996,21.8,1.79,1.15,0.73,0.73,0.32,0.55,1.65,33.3,1.10,14.6,4.50,30.8,3.76,5.69,5.14,1.24,0.28,0.00,0.96,1.10,2.89,1.10,0.00,Matches
1227,Damian Kądzior\Damian-Kadzior,pl POL,FWMF,Eibar,es La Liga,28-322,1992,2.2,0.45,0.45,0.00,0.45,0.00,0.45,2.73,16.7,2.27,15.5,3.64,23.5,1.82,6.82,6.82,0.45,0.00,0.00,0.45,0.00,0.45,0.00,0.00,Matches
1228,Florian Kainz\Florian-Kainz,at AUT,FWMF,Köln,de Bundesliga,28-192,1992,3.0,0.33,0.33,0.00,0.33,0.00,0.00,0.00,,0.00,7.67,2.67,34.8,1.00,4.33,2.33,1.33,0.00,0.00,1.33,0.67,1.00,1.00,0.00,Matches
1229,Gaël Kakuta\Gael-Kakuta,cd COD,MFFW,Lens,fr Ligue 1,29-317,1991,24.9,1.61,1.08,0.28,0.80,0.52,0.32,1.41,22.9,1.08,18.6,5.06,27.2,3.29,10.8,4.54,1.12,0.16,0.00,0.96,0.84,2.45,0.32,0.00,Matches
1230,Sasa Kalajdzic\Sasa-Kalajdzic,at AUT,FW,Stuttgart,de Bundesliga,23-301,1997,20.8,0.67,0.29,0.10,0.29,0.29,0.05,1.06,4.5,1.01,15.9,4.09,25.8,0.82,6.39,8.65,0.82,0.10,0.00,0.72,0.24,0.91,0.67,0.00,Matches
1231,Arnaud Kalimuendo\Arnaud-Kalimuendo,fr FRA,FW,Paris S-G,fr Ligue 1,19-103,2002,0.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,5.00,1.25,25.0,0.00,3.75,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1232,Arnaud Kalimuendo\Arnaud-Kalimuendo,fr FRA,FWMF,Lens,fr Ligue 1,19-103,2002,12.8,0.55,0.39,0.31,0.08,0.16,0.16,0.70,22.2,0.55,15.2,4.30,28.4,1.56,6.33,7.27,0.63,0.00,0.00,0.63,0.08,0.63,0.16,0.00,Matches
1233,Nikola Kalinić\Nikola-Kalinic,hr CRO,FW,Hellas Verona,it Serie A,33-119,1988,8.3,0.24,0.12,0.12,0.12,0.00,0.00,0.12,0.0,0.12,11.2,3.25,29.0,0.60,2.89,7.71,0.48,0.00,0.00,0.48,0.00,0.24,0.48,0.00,Matches
1234,Samuel Kalu\Samuel-Kalu,ng NGA,FWMF,Bordeaux,fr Ligue 1,23-251,1997,10.7,2.43,1.68,1.03,0.93,0.47,0.56,1.40,40.0,0.84,15.0,5.42,36.3,3.36,5.98,5.61,1.68,0.00,0.00,1.68,0.84,3.27,0.28,0.00,Matches
1235,Pierre Kalulu\Pierre-Kalulu,fr FRA,DF,Milan,it Serie A,20-333,2000,8.1,2.59,1.60,1.36,0.86,0.37,0.62,1.11,55.6,0.49,15.7,4.81,30.7,7.53,6.17,1.98,1.73,0.49,0.00,1.23,1.85,4.44,3.09,0.00,Matches
1236,Daichi Kamada\Daichi-Kamada,jp JPN,MFFW,Eint Frankfurt,de Bundesliga,24-272,1996,23.8,1.97,1.01,0.97,0.67,0.34,0.80,2.39,33.3,1.60,20.2,5.84,28.9,3.61,10.1,6.47,1.22,0.08,0.00,1.13,1.09,3.07,0.92,0.00,Matches
1237,Aboubakar Kamara\Aboubakar-Kamara,mr MTN,FWMF,Dijon,fr Ligue 1,26-058,1995,4.7,0.64,0.64,0.21,0.21,0.21,0.00,1.06,0.0,1.06,18.1,3.40,18.8,0.85,9.36,7.87,0.00,0.00,0.00,0.00,0.21,0.85,0.64,0.00,Matches
1238,Aboubakar Kamara\Aboubakar-Kamara,mr MTN,FWDF,Fulham,eng Premier League,26-058,1995,3.5,0.57,0.57,0.57,0.00,0.00,0.29,1.43,20.0,1.14,20.3,3.71,18.3,3.71,7.71,8.86,2.86,0.29,0.00,2.57,0.57,1.14,0.57,0.00,Matches
1239,Bingourou Kamara\Bingourou-Kamara,sn SEN,GK,Strasbourg,fr Ligue 1,24-195,1996,8.0,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.0,0.25,0.38,0.00,0.0,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1240,Boubacar Kamara\Boubacar-Kamara,fr FRA,MF,Marseille,fr Ligue 1,21-162,1999,29.5,2.98,2.10,1.19,1.46,0.34,1.08,2.51,43.2,1.42,15.9,5.66,35.5,4.95,9.36,1.63,1.86,0.44,0.00,1.42,1.08,4.07,2.31,0.00,Matches
1241,Hassane Kamara\Hassane-Kamara,fr FRA,DF,Nice,fr Ligue 1,26-227,1994,29.9,2.01,0.80,1.07,0.74,0.20,0.70,1.67,42.0,0.97,11.1,2.98,26.7,4.38,4.15,2.61,1.94,0.27,0.00,1.67,1.24,3.24,2.41,0.03,Matches
1242,Marcin Kamiński\Marcin-Kaminski,pl POL,DF,Stuttgart,de Bundesliga,29-109,1992,2.3,0.43,0.43,0.00,0.00,0.43,0.00,0.00,,0.00,3.91,1.30,33.3,2.17,1.74,0.00,1.74,0.43,0.00,1.30,0.43,0.87,6.09,0.00,Matches
1243,Kevin Kampl\Kevin-Kampl,si SVN,MF,RB Leipzig,de Bundesliga,30-207,1990,19.7,2.23,1.88,0.76,1.22,0.25,0.46,1.42,32.1,0.96,17.6,7.01,39.8,4.52,10.3,2.79,1.47,0.15,0.00,1.32,1.32,3.55,0.96,0.00,Matches
1244,Harry Kane\Harry-Kane,eng ENG,FW,Tottenham,eng Premier League,27-280,1993,30.2,0.53,0.33,0.10,0.36,0.07,0.17,0.60,27.8,0.43,11.6,2.81,24.3,0.66,5.79,5.13,0.93,0.40,0.03,0.53,0.46,0.99,1.29,0.00,Matches
1245,Wilfried Kanga\Wilfried-Kanga,fr FRA,FW,Angers,fr Ligue 1,23-072,1998,1.5,0.00,0.00,0.00,0.00,0.00,0.00,1.33,0.0,1.33,18.0,2.67,14.8,1.33,6.67,10.0,0.67,0.00,0.00,0.67,0.00,0.00,1.33,0.00,Matches
1246,Lee Kangin\Lee-Kangin,kr KOR,FWMF,Valencia,es La Liga,20-074,2001,11.5,1.13,0.96,0.43,0.43,0.26,0.35,2.35,14.8,2.00,21.6,5.39,25.0,3.30,11.6,6.70,0.70,0.00,0.00,0.70,0.17,1.30,0.09,0.00,Matches
1247,N'Golo Kanté\NGolo-Kante,fr FRA,MF,Chelsea,eng Premier League,30-036,1991,22.8,3.73,2.41,1.80,1.71,0.22,1.27,2.59,49.2,1.32,20.3,7.02,34.6,8.82,8.77,2.72,2.54,0.22,0.00,2.32,2.63,6.36,1.32,0.00,Matches
1248,Yann Karamoh\Yann-Karamoh,fr FRA,FWMF,Parma,it Serie A,22-300,1998,14.4,1.81,1.39,0.63,0.83,0.35,0.69,1.67,41.7,0.97,16.5,4.31,26.2,3.26,7.50,5.69,0.76,0.07,0.00,0.69,0.49,2.29,0.49,0.00,Matches
1249,Isaac Karamoko\Isaac-Karamoko,fr FRA,DF,Sassuolo,it Serie A,18-343,2002,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
1250,Atakan Karazor\Atakan-Karazor,de GER,DFMF,Stuttgart,de Bundesliga,24-203,1996,9.0,1.78,1.22,1.00,0.78,0.00,0.78,1.67,46.7,0.89,14.9,5.56,37.3,8.00,5.22,1.67,1.44,0.56,0.00,0.89,1.44,3.22,5.67,0.11,Matches
1251,Augustus Kargbo\Augustus-Kargbo,sl SLE,FW,Crotone,it Serie A,21-253,1999,0.4,2.50,2.50,0.00,0.00,2.50,0.00,2.50,0.0,2.50,50.0,15.0,30.0,2.50,12.5,35.0,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,Matches
1252,Loris Karius\Loris-Karius,de GER,GK,Union Berlin,de Bundesliga,27-316,1993,3.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1253,Rick Karsdorp\Rick-Karsdorp,nl NED,DF,Roma,it Serie A,26-082,1995,24.3,1.73,1.07,0.82,0.78,0.12,0.45,1.77,25.6,1.32,11.8,3.58,30.3,4.49,4.44,2.88,1.03,0.00,0.00,1.03,1.23,2.96,0.99,0.00,Matches
1254,Noah Katterbach\Noah-Katterbach,de GER,DF,Köln,de Bundesliga,20-021,2001,11.3,1.59,1.06,0.97,0.44,0.18,0.27,1.68,15.8,1.42,11.4,3.36,29.5,5.75,4.69,0.97,1.15,0.18,0.09,0.97,0.88,2.48,2.04,0.00,Matches
1255,Eiji Kawashima\Eiji-Kawashima,jp JPN,GK,Strasbourg,fr Ligue 1,38-045,1983,22.0,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.0,0.05,0.18,0.05,25.0,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,Matches
1256,Moise Kean\Moise-Kean,it ITA,FW,Everton,eng Premier League,21-065,2000,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,5.00,0.00,0.0,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1257,Moise Kean\Moise-Kean,it ITA,FW,Paris S-G,fr Ligue 1,21-065,2000,17.7,0.51,0.51,0.06,0.34,0.11,0.17,0.73,23.1,0.56,9.10,2.54,28.0,0.96,3.39,4.75,0.51,0.11,0.00,0.40,0.40,0.90,0.40,0.00,Matches
1258,Michael Keane\Michael-Keane,eng ENG,DF,Everton,eng Premier League,28-113,1993,28.2,0.85,0.46,0.57,0.21,0.07,0.28,0.92,30.8,0.64,5.71,1.88,32.9,3.69,1.74,0.28,2.20,1.21,0.00,0.99,1.24,2.09,5.89,0.07,Matches
1259,Neeskens Kebano\Neeskens-Kebano,cd COD,FWMF,Fulham,eng Premier League,29-055,1992,1.3,0.77,0.77,0.77,0.00,0.00,0.77,2.31,33.3,1.54,23.1,6.92,30.0,3.08,10.0,10.0,3.85,0.00,0.00,3.85,0.00,0.77,0.77,0.00,Matches
1260,Thilo Kehrer\Thilo-Kehrer,de GER,DF,Paris S-G,fr Ligue 1,24-225,1996,17.0,1.59,0.94,1.00,0.47,0.12,0.47,1.29,36.4,0.82,11.5,4.29,37.2,4.82,5.24,1.47,1.47,0.24,0.00,1.24,1.00,2.59,2.47,0.12,Matches
1261,Naby Keïta\Naby-Keita,gn GUI,MF,Liverpool,eng Premier League,26-083,1995,5.8,1.21,0.86,0.69,0.34,0.17,0.34,3.10,11.1,2.76,24.8,6.38,25.7,3.10,12.9,8.79,1.90,0.00,0.00,1.90,2.07,3.28,1.03,0.00,Matches
1262,Yannik Keitel\Yannik-Keitel,de GER,MF,Freiburg,de Bundesliga,21-078,2000,3.9,2.56,1.28,1.28,1.03,0.26,1.03,1.54,66.7,0.51,16.4,6.15,37.5,7.18,6.15,3.08,1.54,0.26,0.00,1.28,1.79,4.36,2.31,0.00,Matches
1263,Caoimhín Kelleher\Caoimhin-Kelleher,ie IRL,GK,Liverpool,eng Premier League,22-162,1998,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1264,Stephane Keller\Stephane-Keller,cm CMR,DF,Alavés,es La Liga,19-257,2001,0.2,5.00,5.00,0.00,5.00,0.00,0.00,0.00,,0.00,10.0,5.00,50.0,5.00,5.00,0.00,5.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,Matches
1265,Marc-Oliver Kempf\Marc-Oliver-Kempf,de GER,DF,Stuttgart,de Bundesliga,26-096,1995,27.4,2.12,1.39,1.57,0.40,0.15,0.88,1.72,51.1,0.84,9.38,3.47,37.0,5.36,3.43,0.58,2.23,1.02,0.00,1.20,1.64,3.76,3.80,0.00,Matches
1266,Kenedy\Kenedy,br BRA,FWMF,Granada,es La Liga,25-085,1996,16.3,1.72,1.10,0.92,0.49,0.31,0.25,1.53,16.0,1.29,15.8,3.93,24.8,4.91,5.89,5.03,1.96,0.25,0.00,1.72,1.29,3.01,0.98,0.06,Matches
1267,Jonjoe Kenny\Jonjoe-Kenny,eng ENG,DF,Everton,eng Premier League,24-050,1997,0.9,1.11,0.00,1.11,0.00,0.00,0.00,1.11,0.0,1.11,12.2,1.11,9.1,4.44,4.44,3.33,2.22,0.00,0.00,2.22,1.11,2.22,1.11,0.00,Matches
1268,Franck Kessié\Franck-Kessie,ci CIV,MF,Milan,it Serie A,24-136,1996,31.8,1.89,1.13,1.13,0.53,0.22,0.66,1.07,61.8,0.41,14.8,4.25,28.7,4.50,7.92,2.39,2.20,0.53,0.00,1.67,1.13,3.02,1.60,0.00,Matches
1269,Reda Khadra\Reda-Khadra,de GER,FW,Brighton,eng Premier League,19-304,2001,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,10.0,10.0,100.0,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1270,Omar Khailoti\Omar-Khailoti,it ITA,DF,Bologna,it Serie A,19-241,2001,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,6.67,3.33,50.0,3.33,0.00,3.33,6.67,0.00,0.00,6.67,0.00,0.00,0.00,0.00,Matches
1271,Saîf-Eddine Khaoui\Saif-Eddine-Khaoui,tn TUN,FWMF,Marseille,fr Ligue 1,26-007,1995,6.7,2.39,1.49,1.19,0.45,0.75,0.90,2.24,40.0,1.34,19.6,5.37,27.5,6.42,8.66,4.48,1.94,0.00,0.00,1.94,2.69,5.07,1.04,0.00,Matches
1272,Wahbi Khazri\Wahbi-Khazri,tn TUN,FW,Saint-Étienne,fr Ligue 1,30-085,1991,10.7,1.68,0.75,0.75,0.47,0.47,0.75,1.96,38.1,1.21,17.8,5.89,33.2,1.96,7.48,8.32,0.84,0.09,0.00,0.75,0.37,2.06,0.84,0.00,Matches
1273,Rani Khedira\Rani-Khedira,de GER,MF,Augsburg,de Bundesliga,27-097,1994,18.2,1.81,0.99,0.82,0.88,0.11,0.38,1.10,35.0,0.71,16.0,4.73,29.5,4.89,8.85,2.31,1.32,0.27,0.00,1.04,1.04,2.86,2.75,0.00,Matches
1274,Sami Khedira\Sami-Khedira,de GER,MF,Hertha BSC,de Bundesliga,34-030,1987,3.0,3.00,2.33,0.67,1.67,0.67,1.33,2.67,50.0,1.33,13.0,5.67,43.6,2.67,7.33,3.00,1.33,0.33,0.00,1.00,2.67,5.67,1.67,0.33,Matches
1275,Kike\Kike,es ESP,FW,Eibar,es La Liga,31-160,1989,30.3,0.86,0.73,0.23,0.36,0.26,0.10,0.69,14.3,0.59,16.6,5.21,31.5,0.96,6.34,9.27,0.99,0.10,0.00,0.89,0.26,1.12,0.76,0.00,Matches
1276,Luca Kilian\Luca-Kilian,de GER,DF,Mainz 05,de Bundesliga,21-245,1999,4.2,3.33,0.95,2.38,0.71,0.24,0.48,2.38,20.0,1.90,9.05,4.05,44.7,5.24,3.57,0.24,1.43,0.48,0.00,0.95,0.24,3.57,3.57,0.24,Matches
1277,Max Kilman\Max-Kilman,eng ENG,DF,Wolves,eng Premier League,23-346,1997,12.6,2.06,1.51,1.59,0.24,0.24,0.79,1.51,52.6,0.71,9.68,3.17,32.8,6.83,2.38,0.48,1.19,0.48,0.00,0.71,1.11,3.17,3.57,0.00,Matches
1278,Joshua Kimmich\Joshua-Kimmich,de GER,MF,Bayern Munich,de Bundesliga,26-085,1995,21.4,1.87,1.36,0.70,0.89,0.28,0.70,2.48,28.3,1.78,17.4,5.37,30.9,5.14,9.02,3.22,1.50,0.19,0.00,1.31,1.68,3.55,1.03,0.00,Matches
1279,Presnel Kimpembe\Presnel-Kimpembe,fr FRA,DF,Paris S-G,fr Ligue 1,25-264,1995,23.6,2.16,1.36,1.02,1.06,0.08,0.51,0.85,60.0,0.34,8.77,2.92,33.3,4.32,3.64,0.81,1.40,0.59,0.00,0.81,1.23,3.39,3.56,0.08,Matches
1280,Joshua King\Joshua-King,no NOR,MFFW,Everton,eng Premier League,29-109,1992,1.6,1.88,0.63,0.63,0.00,1.25,0.63,0.63,100.0,0.00,23.8,6.25,26.3,6.88,8.75,8.13,1.88,0.00,0.00,1.88,0.63,2.50,0.63,0.00,Matches
1281,Giorgos Kiriakopoulos\Giorgos-Kiriakopoulos,gr GRE,DF,Sassuolo,it Serie A,25-088,1996,14.7,2.79,1.63,1.77,0.61,0.41,0.88,1.84,48.1,0.95,12.9,3.95,30.5,5.99,4.56,2.38,1.84,0.41,0.00,1.43,0.88,3.67,2.86,0.07,Matches
1282,Simon Kjær\Simon-Kjaer,dk DEN,DF,Milan,it Serie A,32-039,1989,22.6,1.95,0.80,1.15,0.71,0.09,0.75,1.55,48.6,0.80,11.9,3.45,29.1,5.71,5.71,0.44,1.99,1.06,0.04,0.93,1.37,3.32,5.49,0.09,Matches
1283,Davy Klaassen\Davy-Klaassen,nl NED,MF,Werder Bremen,de Bundesliga,28-072,1993,2.5,1.20,0.80,0.40,0.40,0.40,0.00,0.80,0.0,0.80,23.6,8.00,33.9,3.60,14.0,6.00,3.60,0.40,0.00,3.20,0.80,2.00,0.00,0.00,Matches
1284,Felix Klaus\Felix-Klaus,de GER,DFMF,Wolfsburg,de Bundesliga,28-233,1992,1.5,6.00,5.33,2.00,3.33,0.67,2.00,3.33,60.0,1.33,23.3,10.7,45.7,8.00,9.33,6.00,3.33,0.00,0.00,3.33,0.00,6.00,4.00,0.00,Matches
1285,Klauss\Klauss,br BRA,FW,Hoffenheim,de Bundesliga,24-064,1997,0.6,0.00,0.00,0.00,0.00,0.00,0.00,1.67,0.0,1.67,18.3,6.67,36.4,0.00,5.00,13.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
