,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Height,,,Body Parts,,,,,Outcomes,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
2505,Kieran Tierney\Kieran-Tierney,sco SCO,DF,Arsenal,eng Premier League,23-333,1997,22.4,60.8,51.9,8.88,0.80,0.04,5.80,1.03,4.02,0.00,0.00,0.00,0.00,37.7,10.9,12.1,43.5,6.16,2.46,8.08,0.04,46.4,0.13,1.34,0.80,2.37,Matches
2506,Steffen Tigges\Steffen-Tigges,de GER,FW,Dortmund,de Bundesliga,22-277,1998,0.6,36.7,33.3,3.33,0.00,0.00,18.3,1.67,1.67,0.00,0.00,0.00,0.00,15.0,10.0,11.7,13.3,10.0,3.33,0.00,0.00,18.3,0.00,1.67,1.67,1.67,Matches
2507,Guus Til\Guus-Til,nl NED,FW,Freiburg,de Bundesliga,23-133,1997,1.3,25.4,25.4,0.00,0.00,0.00,13.8,0.00,0.77,0.00,0.00,0.00,0.00,14.6,10.0,0.77,2.31,20.8,0.00,0.00,1.54,15.4,0.00,0.00,0.77,3.08,Matches
2508,David Timor\David-Timor,es ESP,MFDF,Getafe,es La Liga,31-199,1989,13.5,42.0,37.3,4.74,3.48,0.00,5.11,4.07,0.67,0.81,0.22,0.30,0.15,17.0,6.44,18.6,30.6,2.96,6.00,0.30,0.30,27.9,0.00,1.56,0.96,0.59,Matches
2509,Jean-Clair Todibo\Jean-Clair-Todibo,fr FRA,DF,Nice,fr Ligue 1,21-125,1999,11.8,68.8,66.4,2.46,2.37,0.00,7.29,2.37,0.08,0.00,0.00,0.00,0.00,56.5,4.15,8.14,4.24,61.9,1.53,0.08,0.34,60.8,0.00,1.27,0.76,0.42,Matches
2510,Karl Toko Ekambi\Karl-Toko-Ekambi,cm CMR,FW,Lyon,fr Ligue 1,28-232,1992,28.4,31.8,31.3,0.53,0.14,0.14,7.39,0.42,1.55,0.00,0.00,0.00,0.00,24.0,3.98,3.84,2.61,27.3,0.63,0.35,0.14,24.7,0.07,0.53,0.92,1.34,Matches
2511,Corentin Tolisso\Corentin-Tolisso,fr FRA,MF,Bayern Munich,de Bundesliga,26-274,1994,8.1,62.7,60.5,2.22,1.36,0.12,9.14,3.21,0.62,0.62,0.25,0.37,0.00,45.2,8.27,9.26,8.15,51.2,1.23,0.25,0.25,53.6,0.25,0.37,1.11,1.23,Matches
2512,Jeremy Toljan\Jeremy-Toljan,de GER,DF,Sassuolo,it Serie A,26-269,1994,13.8,53.2,46.1,7.10,0.87,0.00,4.57,0.87,2.03,0.00,0.00,0.00,0.00,40.1,8.41,4.71,4.64,40.7,1.67,6.23,0.00,47.2,0.14,1.01,0.72,1.01,Matches
2513,Rafael Tolói\Rafael-Toloi,it ITA,DF,Atalanta,it Serie A,30-206,1990,26.2,57.6,54.8,2.79,1.03,0.04,7.21,1.41,0.69,0.04,0.00,0.00,0.00,40.2,7.71,9.69,5.53,47.4,1.56,1.72,0.04,47.8,0.11,0.69,1.45,1.18,Matches
2514,Takehiro Tomiyasu\Takehiro-Tomiyasu,jp JPN,DF,Bologna,it Serie A,22-180,1998,26.2,53.9,47.9,5.99,1.30,0.08,5.00,1.11,0.73,0.00,0.00,0.00,0.00,36.2,8.21,9.43,15.7,29.2,2.21,4.54,0.19,45.0,0.11,0.69,0.80,0.95,Matches
2515,James Tomkins\James-Tomkins,eng ENG,DF,Crystal Palace,eng Premier League,32-036,1989,4.3,29.3,28.1,1.16,1.16,0.00,2.56,0.70,0.00,0.00,0.00,0.00,0.00,17.4,1.86,10.0,4.19,21.9,2.79,0.00,0.23,22.8,0.00,0.70,0.23,0.23,Matches
2516,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Chelsea,eng Premier League,23-136,1997,0.5,58.0,56.0,2.00,2.00,0.00,6.00,2.00,0.00,0.00,0.00,0.00,0.00,50.0,0.00,8.00,4.00,50.0,4.00,0.00,0.00,54.0,0.00,0.00,0.00,0.00,Matches
2517,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Milan,it Serie A,23-136,1997,12.3,56.1,53.7,2.36,1.30,0.00,3.01,1.95,0.00,0.00,0.00,0.00,0.00,45.9,3.58,6.59,14.1,39.0,2.28,0.16,0.16,50.7,0.33,0.57,0.98,0.16,Matches
2518,Sandro Tonali\Sandro-Tonali,it ITA,MF,Milan,it Serie A,20-361,2000,14.8,52.0,49.3,2.64,1.62,0.00,4.93,1.82,0.74,0.81,0.41,0.34,0.00,40.2,4.66,7.09,4.12,45.6,1.49,0.20,0.20,42.8,0.20,1.08,1.35,1.01,Matches
2519,Lorenzo Tonelli\Lorenzo-Tonelli,it ITA,DF,Sampdoria,it Serie A,31-107,1990,18.3,42.7,39.5,3.22,2.90,0.00,4.92,1.86,0.00,0.00,0.00,0.00,0.00,27.0,5.14,10.6,6.78,31.0,3.06,0.33,0.05,34.6,0.00,0.77,0.44,0.55,Matches
2520,Toño\Tono,es ESP,DF,Levante,es La Liga,31-178,1989,6.4,50.0,40.6,9.38,1.41,0.16,10.2,0.94,2.34,0.00,0.00,0.00,0.00,30.5,12.5,7.03,36.7,2.81,1.72,7.97,0.16,40.5,0.31,1.09,1.25,2.03,Matches
2521,Ömer Toprak\Omer-Toprak,tr TUR,DF,Werder Bremen,de Bundesliga,31-287,1989,20.1,46.9,43.5,3.43,3.38,0.00,4.83,0.80,0.00,0.00,0.00,0.00,0.00,34.7,3.58,8.61,13.3,29.5,2.89,0.05,0.20,38.7,0.20,0.90,1.00,0.35,Matches
2522,Tyron Tormin\Tyron-Tormin,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,19-309,2001,0.2,45.0,45.0,0.00,0.00,0.00,20.0,0.00,0.00,0.00,0.00,0.00,0.00,35.0,5.00,5.00,5.00,35.0,0.00,0.00,0.00,40.0,0.00,0.00,0.00,5.00,Matches
2523,Ernesto Torregrossa\Ernesto-Torregrossa,it ITA,FW,Sampdoria,it Serie A,28-310,1992,1.8,22.8,21.1,1.67,1.11,0.00,6.11,0.00,0.00,0.00,0.00,0.00,0.00,16.7,5.56,0.56,18.9,1.11,0.56,0.00,0.56,16.7,0.00,0.00,0.56,1.67,Matches
2524,Lucas Torreira\Lucas-Torreira,uy URU,MFFW,Atlético Madrid,es La Liga,25-082,1996,5.8,55.5,54.8,0.69,0.69,0.17,8.79,0.69,0.00,0.00,0.00,0.00,0.00,41.4,6.55,7.59,6.21,44.3,3.97,0.00,0.17,49.3,0.00,0.34,0.34,0.52,Matches
2525,Ferrán Torres\Ferran-Torres,es ESP,FWMF,Manchester City,eng Premier League,21-064,2000,12.4,29.7,28.6,1.05,0.24,0.16,5.16,0.81,2.18,0.48,0.24,0.24,0.00,23.2,3.15,3.31,1.77,26.1,0.73,0.16,0.24,23.8,0.00,0.48,0.81,0.89,Matches
2526,Óliver Torres\Oliver-Torres,es ESP,MFFW,Sevilla,es La Liga,26-175,1994,14.2,65.6,62.4,3.17,0.49,0.14,9.37,5.56,1.62,1.55,0.28,0.28,0.07,43.2,7.82,14.6,5.92,56.3,1.48,0.85,0.77,55.6,0.42,0.85,1.48,1.06,Matches
2527,Pau Torres\Pau-Torres,es ESP,DF,Villarreal,es La Liga,24-108,1997,30.0,63.1,60.8,2.23,2.03,0.07,6.77,2.87,0.13,0.00,0.00,0.00,0.00,49.6,4.57,8.90,53.0,6.67,2.07,0.20,0.30,56.2,0.13,0.93,0.60,0.37,Matches
2528,Roberto Torres\Roberto-Torres,es ESP,MFFW,Osasuna,es La Liga,32-058,1989,18.6,35.8,31.3,4.46,2.58,0.00,5.22,2.58,2.96,1.34,0.54,0.54,0.16,18.3,5.81,11.7,5.91,26.6,2.31,0.48,0.22,23.7,0.27,0.91,0.81,1.67,Matches
2529,Lucas Torró\Lucas-Torro,es ESP,MF,Osasuna,es La Liga,26-289,1994,14.8,36.8,36.4,0.47,0.47,0.00,8.78,0.61,0.27,0.00,0.00,0.00,0.00,23.0,5.47,8.38,4.46,23.1,5.54,0.00,0.20,28.5,0.00,0.61,1.15,0.47,Matches
2530,Jordan Torunarigha\Jordan-Torunarigha,de GER,DF,Hertha BSC,de Bundesliga,23-270,1997,8.6,62.0,61.3,0.70,0.58,0.12,5.00,1.51,0.12,0.00,0.00,0.00,0.00,52.0,3.49,6.51,40.9,17.0,2.67,0.12,0.23,55.5,0.23,0.93,0.23,0.70,Matches
2531,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Everton,eng Premier League,29-331,1991,0.5,20.0,18.0,2.00,0.00,0.00,2.00,4.00,0.00,0.00,0.00,0.00,0.00,10.0,6.00,4.00,6.00,12.0,0.00,2.00,0.00,16.0,0.00,0.00,0.00,2.00,Matches
2532,Abdoulaye Touré\Abdoulaye-Toure,fr FRA,MF,Nantes,fr Ligue 1,27-062,1994,18.7,50.2,49.9,0.27,0.27,0.11,7.81,0.91,0.27,0.00,0.00,0.00,0.00,39.3,5.35,5.56,10.5,35.8,2.67,0.00,0.05,42.8,0.00,0.59,1.18,0.70,Matches
2533,Almamy Touré\Almamy-Toure,ml MLI,DF,Eint Frankfurt,de Bundesliga,25-006,1996,7.7,43.1,38.8,4.29,0.13,0.00,6.62,1.30,4.42,0.00,0.00,0.00,0.00,22.1,9.48,11.6,4.55,31.0,1.82,4.16,0.00,28.4,0.13,0.91,0.91,3.38,Matches
2534,Lucas Tousart\Lucas-Tousart,fr FRA,MF,Hertha BSC,de Bundesliga,24-005,1997,21.4,35.4,34.7,0.75,0.70,0.09,6.64,2.06,0.47,0.00,0.00,0.00,0.00,23.3,4.25,7.90,5.33,25.7,2.29,0.05,0.00,28.1,0.23,1.03,0.47,1.12,Matches
2535,Andros Townsend\Andros-Townsend,eng ENG,MFFW,Crystal Palace,eng Premier League,29-292,1991,21.3,34.0,30.8,3.19,1.22,0.09,6.43,2.07,3.29,1.69,1.03,0.33,0.14,21.1,4.18,8.78,23.9,8.87,0.80,0.23,0.09,23.0,0.19,0.89,0.80,2.07,Matches
2536,Conor Townsend\Conor-Townsend,eng ENG,DF,West Brom,eng Premier League,28-061,1993,20.8,49.1,39.5,9.62,0.82,0.00,6.11,0.82,2.02,0.00,0.00,0.00,0.00,24.9,9.52,14.7,33.2,3.27,2.40,8.80,0.05,36.8,0.14,1.01,1.01,1.44,Matches
2537,Mattéo Tramoni\Matteo-Tramoni,fr FRA,FWMF,Cagliari,it Serie A,21-104,2000,0.8,16.3,16.3,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,12.5,2.50,1.25,0.00,16.3,0.00,0.00,0.00,12.5,0.00,0.00,0.00,1.25,Matches
2538,Adama Traoré\Adama-Traore,es ESP,FW,Wolves,eng Premier League,25-099,1996,26.8,29.9,29.0,0.93,0.04,0.07,7.46,0.63,3.92,0.00,0.00,0.00,0.00,17.1,5.63,7.16,2.95,22.2,1.19,0.86,0.26,19.7,0.07,0.90,0.78,2.24,Matches
2539,Amadou Traore\Amadou-Traore,fr FRA,MFFW,Bordeaux,fr Ligue 1,19-058,2002,2.7,32.2,29.3,2.96,0.00,0.00,9.63,0.37,4.81,0.37,0.00,0.00,0.00,22.6,5.93,3.70,2.22,25.6,0.74,2.59,0.00,22.6,0.37,0.37,1.85,1.48,Matches
2540,Bertrand Traoré\Bertrand-Traore,bf BFA,FW,Aston Villa,eng Premier League,25-240,1995,21.5,32.2,28.5,3.67,1.81,0.00,6.84,1.91,2.33,1.67,0.65,0.65,0.05,19.9,4.60,7.67,26.8,2.88,1.16,0.19,0.09,22.9,0.05,0.74,0.98,1.12,Matches
2541,Chaka Traorè\Chaka-Traore,ci CIV,MFDF,Parma,it Serie A,16-132,2004,0.1,50.0,50.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.0,20.0,0.00,0.00,40.0,10.0,0.00,0.00,30.0,0.00,0.00,10.0,0.00,Matches
2542,Charles Traore\Charles-Traore,ml MLI,DF,Nantes,fr Ligue 1,29-123,1992,18.8,49.7,38.7,11.1,1.06,0.05,4.26,0.69,1.06,0.00,0.00,0.00,0.00,27.6,9.63,12.5,33.1,3.72,2.02,10.0,0.11,35.4,0.05,1.38,1.54,1.81,Matches
2543,Cheick Traoré\Cheick-Traore,ml MLI,DF,Lens,fr Ligue 1,26-034,1995,0.2,15.0,10.0,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,5.00,0.00,10.0,0.00,5.00,0.00,15.0,0.00,0.00,0.00,0.00,Matches
2544,Hamari Traoré\Hamari-Traore,ml MLI,DF,Rennes,fr Ligue 1,29-097,1992,30.3,73.5,61.8,11.7,1.19,0.03,4.98,1.16,2.97,0.07,0.00,0.00,0.00,48.7,14.2,10.7,7.39,52.0,2.61,10.5,0.23,61.2,0.13,0.92,1.58,2.24,Matches
2545,Ibrahima Traoré\Ibrahima-Traore,gn GUI,FWDF,M'Gladbach,de Bundesliga,33-013,1988,1.1,45.5,41.8,3.64,0.91,0.00,6.36,0.91,3.64,0.91,0.91,0.00,0.00,31.8,6.36,7.27,33.6,10.0,0.00,1.82,0.00,30.0,0.00,0.00,0.91,3.64,Matches
2546,Ismaël Traoré\Ismael-Traore,ci CIV,DF,Angers,fr Ligue 1,34-259,1986,33.3,51.1,49.0,2.07,1.95,0.00,5.14,0.96,0.12,0.00,0.00,0.00,0.00,40.2,3.15,7.75,4.35,44.8,1.26,0.12,0.18,43.8,0.15,0.69,1.17,0.54,Matches
2547,Kevin Trapp\Kevin-Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,30-300,1990,31.0,41.7,31.1,10.5,2.42,0.00,3.74,0.74,0.00,0.00,0.00,0.00,0.00,20.3,0.77,20.6,4.97,30.2,0.00,0.00,4.97,28.7,0.16,0.77,0.26,0.13,Matches
2548,Miguel Trauco\Miguel-Trauco,pe PER,DF,Saint-Étienne,fr Ligue 1,28-252,1992,20.6,63.0,50.0,13.1,2.04,0.05,6.02,1.41,2.33,0.29,0.10,0.10,0.05,34.7,11.6,16.7,45.9,3.64,2.09,10.7,0.19,48.2,0.10,1.55,1.89,2.18,Matches
2549,Trézéguet\Trezeguet,eg EGY,FW,Aston Villa,eng Premier League,26-215,1994,13.0,25.2,25.1,0.15,0.00,0.15,5.46,0.54,1.85,0.08,0.08,0.00,0.00,15.8,3.85,5.54,2.08,19.5,1.77,0.08,0.15,17.5,0.15,0.69,0.85,1.00,Matches
2550,Manu Trigueros\Manu-Trigueros,es ESP,MF,Villarreal,es La Liga,29-199,1991,24.1,59.5,57.8,1.66,1.12,0.29,9.88,1.04,0.66,0.08,0.04,0.00,0.00,46.5,6.60,6.43,16.2,40.5,1.41,0.29,0.50,51.3,0.37,0.83,1.08,1.20,Matches
2551,Christopher Trimmel\Christopher-Trimmel,at AUT,DF,Union Berlin,de Bundesliga,34-069,1987,26.0,55.3,40.2,15.2,2.19,0.04,5.96,2.92,3.08,3.38,1.38,1.62,0.23,24.5,13.9,17.0,4.92,37.3,2.81,9.58,0.04,39.8,0.42,0.92,1.15,1.96,Matches
2552,Francisco Trincão\Francisco-Trincao,pt POR,FWMF,Barcelona,es La Liga,21-126,1999,7.1,51.1,49.4,1.69,0.14,0.00,7.89,0.70,1.55,0.70,0.00,0.00,0.00,44.5,3.10,3.52,41.7,6.06,1.55,0.85,0.70,42.8,0.14,0.56,1.41,2.54,Matches
2553,Alessandro Tripaldelli\Alessandro-Tripaldelli,it ITA,DF,Cagliari,it Serie A,22-084,1999,3.3,37.6,27.0,10.6,0.30,0.00,5.45,0.30,2.42,0.00,0.00,0.00,0.00,20.3,6.97,10.3,22.7,2.73,0.91,10.3,0.00,24.2,0.00,1.21,1.21,1.52,Matches
2554,Kieran Trippier\Kieran-Trippier,eng ENG,DF,Atlético Madrid,es La Liga,30-227,1990,23.5,66.2,56.4,9.83,0.68,0.04,6.68,1.91,2.51,1.49,0.04,1.11,0.04,38.8,13.0,14.4,2.34,51.3,3.32,7.66,0.30,52.5,0.34,0.72,2.04,1.87,Matches
2555,Leandro Trossard\Leandro-Trossard,be BEL,FWMF,Brighton,eng Premier League,26-151,1994,26.2,37.7,35.2,2.52,0.84,0.19,6.41,1.83,2.37,1.26,0.27,0.65,0.08,23.8,7.02,6.87,8.70,27.7,0.65,0.27,0.19,28.0,0.27,0.57,1.49,1.76,Matches
2556,Alexis Trouillet\Alexis-Trouillet,fr FRA,MF,Nice,fr Ligue 1,20-132,2000,1.2,56.7,55.0,1.67,0.83,0.83,9.17,3.33,0.83,0.83,0.83,0.00,0.00,45.0,5.00,6.67,3.33,52.5,0.00,0.00,0.00,46.7,0.83,0.83,1.67,0.83,Matches
2557,Adrien Truffert\Adrien-Truffert,fr FRA,DFMF,Rennes,fr Ligue 1,19-165,2001,20.8,58.3,49.7,8.61,1.01,0.00,6.44,0.96,2.84,0.00,0.00,0.00,0.00,40.7,10.4,7.21,41.2,6.44,2.50,7.60,0.10,48.8,0.14,0.77,1.35,1.35,Matches
2558,Marvin Tshibuabua\Marvin-Tshibuabua,fr FRA,DF,Saint-Étienne,fr Ligue 1,19-116,2002,0.5,34.0,34.0,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,24.0,8.00,2.00,4.00,20.0,4.00,0.00,0.00,30.0,0.00,0.00,0.00,0.00,Matches
2559,Kostas Tsimikas\Kostas-Tsimikas,gr GRE,DF,Liverpool,eng Premier League,24-357,1996,0.1,80.0,60.0,20.0,0.00,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,40.0,30.0,10.0,60.0,0.00,0.00,20.0,0.00,60.0,0.00,0.00,0.00,0.00,Matches
2560,Axel Tuanzebe\Axel-Tuanzebe,eng ENG,DF,Manchester Utd,eng Premier League,23-171,1997,1.5,78.0,73.3,4.67,0.67,0.00,6.00,2.00,0.00,0.00,0.00,0.00,0.00,63.3,8.00,6.67,8.00,62.7,2.67,4.00,0.00,72.7,0.67,0.00,0.67,1.33,Matches
2561,Alessandro Tuia\Alessandro-Tuia,it ITA,DF,Benevento,it Serie A,30-330,1990,18.0,40.3,36.4,3.83,1.39,0.06,3.78,1.56,0.39,0.06,0.00,0.00,0.00,26.8,2.89,10.6,4.94,30.9,1.56,2.22,0.17,31.7,0.17,0.83,0.44,0.50,Matches
2562,Ľubomír Tupta\Lubomir-Tupta,sk SVK,MF,Hellas Verona,it Serie A,23-038,1998,0.6,16.7,15.0,1.67,1.67,0.00,0.00,1.67,0.00,0.00,0.00,0.00,0.00,10.0,6.67,0.00,3.33,13.3,0.00,0.00,0.00,13.3,0.00,0.00,1.67,0.00,Matches
2563,Tuta\Tuta,br BRA,DF,Eint Frankfurt,de Bundesliga,21-304,1999,14.4,58.3,55.6,2.64,1.11,0.00,7.78,0.90,0.21,0.00,0.00,0.00,0.00,44.3,4.72,9.24,5.97,47.6,1.94,1.53,0.14,49.0,0.14,1.18,0.69,0.69,Matches
2564,Iyenoma Udogie\Iyenoma-Udogie,it ITA,DFMF,Hellas Verona,it Serie A,18-157,2002,1.3,74.6,66.2,8.46,3.85,0.00,10.8,0.00,0.00,0.00,0.00,0.00,0.00,60.8,10.0,3.85,53.1,14.6,0.77,4.62,0.77,62.3,0.00,0.00,1.54,3.85,Matches
2565,Matthieu Udol\Matthieu-Udol,fr FRA,DF,Metz,fr Ligue 1,25-045,1996,18.1,51.0,40.5,10.6,1.22,0.06,4.09,1.10,2.32,0.00,0.00,0.00,0.00,30.3,11.9,8.84,32.4,6.91,1.71,9.28,0.06,41.3,0.06,0.83,0.83,1.66,Matches
2566,Naomichi Ueda\Naomichi-Ueda,jp JPN,DF,Nîmes,fr Ligue 1,26-192,1994,5.1,41.2,39.2,1.96,1.76,0.39,2.94,2.16,0.20,0.00,0.00,0.00,0.00,29.0,2.55,9.61,4.31,35.1,1.18,0.00,0.39,32.5,0.00,2.16,0.20,0.00,Matches
2567,Chimuanya Ugochukwu\Chimuanya-Ugochukwu,fr FRA,MF,Rennes,fr Ligue 1,17-039,2004,0.0,5,5,0,0,0,2,0,0,0,0,0,0,4,1,0,2,3,0,0,0,5,0,0,0,0,Matches
2568,Hwang Ui-jo\Hwang-Ui-jo,kr KOR,FWMF,Bordeaux,fr Ligue 1,28-249,1992,25.4,17.6,16.1,1.50,0.00,0.00,3.46,0.24,0.55,0.00,0.00,0.00,0.00,14.0,2.36,1.22,1.30,14.3,0.87,0.12,0.20,14.7,0.00,0.47,0.24,0.71,Matches
2569,Samuel Umtiti\Samuel-Umtiti,fr FRA,DF,Barcelona,es La Liga,27-171,1993,6.7,82.8,81.0,1.79,1.64,0.00,5.97,0.60,0.00,0.00,0.00,0.00,0.00,74.6,4.78,3.43,66.1,13.0,1.34,0.15,0.60,79.6,0.00,0.30,0.30,0.15,Matches
2570,Enes Ünal\Enes-Unal,tr TUR,FW,Getafe,es La Liga,23-359,1997,11.6,22.8,21.6,1.21,0.17,0.17,8.36,0.09,0.26,0.09,0.09,0.00,0.00,10.5,6.21,6.03,1.12,11.6,3.62,0.26,0.78,15.0,0.00,0.34,0.43,1.03,Matches
2571,Cengiz Ünder\Cengiz-Under,tr TUR,MFFW,Leicester City,eng Premier League,23-294,1997,3.1,41.6,38.4,3.23,1.61,0.00,8.71,1.61,3.23,0.65,0.32,0.00,0.00,29.7,5.81,6.13,25.5,14.5,0.65,0.97,0.00,29.4,0.32,0.97,1.29,2.58,Matches
2572,Dayot Upamecano\Dayot-Upamecano,fr FRA,DF,RB Leipzig,de Bundesliga,22-189,1998,23.6,86.0,84.1,1.86,1.74,0.13,9.15,2.58,0.13,0.00,0.00,0.00,0.00,67.2,6.74,12.0,8.77,72.0,2.63,0.13,0.13,76.7,0.17,0.93,1.19,0.76,Matches
2573,Mark Uth\Mark-Uth,de GER,FWMF,Schalke 04,de Bundesliga,29-253,1991,15.2,33.9,28.9,5.00,1.97,0.00,6.25,2.30,1.32,2.24,0.53,1.58,0.13,20.5,5.33,8.16,27.3,4.93,0.99,0.13,0.07,25.1,0.26,0.66,0.53,0.99,Matches
2574,Tomáš Vaclík\Tomas-Vaclik,cz CZE,GK,Sevilla,es La Liga,32-036,1989,4.0,29.5,24.0,5.50,1.75,0.00,5.25,0.50,0.00,0.00,0.00,0.00,0.00,18.8,1.50,9.25,3.00,21.8,0.00,0.00,4.25,23.8,0.00,0.00,0.25,0.00,Matches
2575,Eugeni Valderrama\Eugeni-Valderrama,es ESP,FWMF,Huesca,es La Liga,26-289,1994,1.3,63.1,55.4,7.69,5.38,0.00,10.8,3.08,0.00,2.31,0.00,1.54,0.77,49.2,6.15,7.69,3.08,56.2,3.08,0.00,0.00,53.8,0.77,1.54,1.54,0.77,Matches
2576,Lautaro Valenti\Lautaro-Valenti,ar ARG,DF,Parma,it Serie A,22-110,1999,2.7,60.0,57.0,2.96,2.59,0.00,3.33,0.74,0.00,0.00,0.00,0.00,0.00,47.8,4.44,7.78,48.1,10.0,1.48,0.37,0.00,50.7,0.00,0.37,0.37,0.00,Matches
2577,Borja Valero\Borja-Valero,es ESP,MFFW,Fiorentina,it Serie A,36-112,1985,5.0,52.6,50.4,2.20,0.80,0.00,4.20,1.00,0.00,0.40,0.00,0.00,0.00,42.0,4.60,6.00,6.40,43.8,1.40,0.00,0.60,47.0,0.20,0.00,0.60,1.00,Matches
2578,Yan Valery\Yan-Valery,fr FRA,DFMF,Southampton,eng Premier League,22-071,1999,1.1,58.2,42.7,15.5,0.91,0.00,10.9,0.00,1.82,0.00,0.00,0.00,0.00,37.3,12.7,8.18,0.91,40.9,1.82,13.6,0.00,48.2,0.00,0.00,0.91,2.73,Matches
2579,Jesús Vallejo\Jesus-Vallejo,es ESP,DF,Granada,es La Liga,24-119,1997,14.5,32.0,30.2,1.79,0.90,0.07,4.00,1.38,0.07,0.00,0.00,0.00,0.00,20.2,2.34,9.45,4.90,23.7,1.79,0.90,0.00,24.3,0.14,1.31,0.62,0.62,Matches
2580,Manu Vallejo\Manu-Vallejo,es ESP,FW,Valencia,es La Liga,24-079,1997,9.6,24.4,22.0,2.40,0.21,0.21,6.88,1.04,0.83,0.31,0.00,0.00,0.00,16.7,4.58,3.13,2.50,19.0,1.46,0.10,0.63,18.2,0.00,0.63,0.63,1.35,Matches
2581,Federico Valverde\Federico-Valverde,uy URU,MF,Real Madrid,es La Liga,22-286,1998,11.1,52.3,51.6,0.72,0.18,0.00,5.41,2.43,1.44,0.00,0.00,0.00,0.00,39.9,6.31,6.13,4.32,45.0,1.53,0.54,0.45,45.0,0.18,0.72,0.72,1.44,Matches
2582,Raphaël Varane\Raphael-Varane,fr FRA,DF,Real Madrid,es La Liga,28-009,1993,29.2,57.1,55.4,1.71,1.47,0.07,5.14,1.85,0.03,0.00,0.00,0.00,0.00,44.9,4.76,7.43,22.7,30.7,2.02,0.24,0.17,51.9,0.03,0.48,0.62,0.55,Matches
2583,Jamie Vardy\Jamie-Vardy,eng ENG,FW,Leicester City,eng Premier League,34-113,1987,27.7,14.3,13.2,1.08,0.00,0.18,3.47,0.07,0.72,0.00,0.00,0.00,0.00,9.31,3.03,1.91,3.32,8.52,1.08,0.00,0.18,9.46,0.14,0.32,0.76,0.61,Matches
2584,Ruben Vargas\Ruben-Vargas,ch SUI,MFFW,Augsburg,de Bundesliga,22-272,1998,17.0,30.4,29.1,1.29,0.00,0.29,7.88,0.53,0.88,0.06,0.06,0.00,0.00,20.4,5.47,4.53,3.76,23.9,1.06,1.24,0.06,23.3,0.06,0.53,1.00,1.65,Matches
2585,Denis Vavro\Denis-Vavro,sk SVK,DF,Lazio,it Serie A,25-024,1996,0.4,42.5,42.5,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,35.0,2.50,5.00,7.50,32.5,2.50,0.00,0.00,42.5,0.00,0.00,0.00,0.00,Matches
2586,Denis Vavro\Denis-Vavro,sk SVK,DF,Huesca,es La Liga,25-024,1996,4.5,41.6,39.8,1.78,1.33,0.00,2.89,2.22,0.44,0.00,0.00,0.00,0.00,28.2,4.00,9.33,2.67,35.6,2.00,0.44,0.44,31.6,0.44,1.78,1.33,1.11,Matches
2587,Franco Vázquez\Franco-Vazquez,ar ARG,FWMF,Sevilla,es La Liga,32-071,1989,1.1,68.2,67.3,0.91,0.00,0.00,11.8,0.91,2.73,0.00,0.00,0.00,0.00,50.9,10.0,7.27,50.9,8.18,2.73,0.00,0.91,60.9,0.00,0.91,0.00,0.91,Matches
2588,Kevin Vázquez\Kevin-Vazquez,es ESP,DF,Celta Vigo,es La Liga,28-042,1993,3.0,63.7,49.3,14.3,1.00,0.00,5.67,0.67,1.67,0.00,0.00,0.00,0.00,35.3,13.3,15.0,3.33,43.0,3.33,13.3,0.00,47.3,0.33,2.00,1.67,3.33,Matches
2589,Lucas Vázquez\Lucas-Vazquez,es ESP,DFFW,Real Madrid,es La Liga,29-307,1991,20.5,69.8,63.4,6.44,0.39,0.00,7.76,2.39,3.95,0.10,0.00,0.00,0.00,46.3,11.2,12.2,6.83,54.9,1.46,5.95,0.39,59.4,0.10,0.63,1.12,2.63,Matches
2590,Matías Vecino\Matias-Vecino,uy URU,MF,Inter,it Serie A,29-253,1991,0.4,30.0,30.0,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,22.5,7.50,0.00,2.50,25.0,0.00,0.00,2.50,27.5,0.00,0.00,0.00,0.00,Matches
